AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2025,06,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,M,12-17 AÑOS,PERÚ,1
2019,06,040101,AREQUIPA,AREQUIPA,AREQUIPA,F,18-29 AÑOS,PERÚ,4
2023,09,150119,LIMA METROPOLITANA,LIMA,LURIN,M,30-59 AÑOS,PERÚ,2
2020,05,200101,PIURA,PIURA,PIURA,M,18-29 AÑOS,PERÚ,1
2022,09,211201,PUNO,SANDIA,SANDIA,F,60 A MAS AÑOS,PERÚ,1
2024,05,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,F,12-17 AÑOS,PERÚ,9
2022,01,061001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,F,12-17 AÑOS,PERÚ,1
2022,07,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,M,60 A MAS AÑOS,PERÚ,1
2019,04,150110,LIMA METROPOLITANA,LIMA,COMAS,F,18-29 AÑOS,PERÚ,3
2020,06,021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,M,12-17 AÑOS,PERÚ,1
2020,04,200601,PIURA,SULLANA,SULLANA,M,18-29 AÑOS,PERÚ,1
2023,03,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,F,12-17 AÑOS,PERÚ,11
2021,05,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,,PERÚ,1
2025,02,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,F,12-17 AÑOS,PERÚ,12
2024,05,030201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,F,18-29 AÑOS,PERÚ,1
2024,01,060301,CAJAMARCA,CELENDIN,CELENDIN,F,12-17 AÑOS,PERÚ,3
2019,04,040104,AREQUIPA,AREQUIPA,CERRO COLORADO,M,30-59 AÑOS,PERÚ,1
