AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2023,04,040109,AREQUIPA,AREQUIPA,MARIANO MELGAR,F,12-17 AÑOS,PERÚ,1
2020,07,150120,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,M,12-17 AÑOS,PERÚ,1
2020,03,070106,CALLAO,CALLAO,VENTANILLA,M,6-11 AÑOS,PERÚ,1
2020,05,150110,LIMA METROPOLITANA,LIMA,COMAS,M,60 A MAS AÑOS,PERÚ,1
2025,01,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,M,6-11 AÑOS,PERÚ,1
2019,09,030506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,M,30-59 AÑOS,PERÚ,1
2020,12,150113,LIMA METROPOLITANA,LIMA,JESUS MARIA,M,12-17 AÑOS,PERÚ,1
2025,10,081301,CUSCO,URUBAMBA,URUBAMBA,F,30-59 AÑOS,PERÚ,1
2024,06,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,M,60 A MAS AÑOS,PERÚ,1
2020,01,070101,CALLAO,CALLAO,CALLAO,F,18-29 AÑOS,PERÚ,3
2020,11,150136,LIMA METROPOLITANA,LIMA,SAN MIGUEL,F,30-59 AÑOS,PERÚ,1
2021,05,130601,LA LIBERTAD,OTUZCO,OTUZCO,F,12-17 AÑOS,PERÚ,1
2021,05,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,12-17 AÑOS,PERÚ,8
2019,10,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,F,30-59 AÑOS,PERÚ,2
2020,09,081212,CUSCO,QUISPICANCHI,QUIQUIJANA,M,30-59 AÑOS,PERÚ,1
2021,01,240104,TUMBES,TUMBES,PAMPAS DE HOSPITAL,F,12-17 AÑOS,PERÚ,1
2021,10,040122,AREQUIPA,AREQUIPA,SOCABAYA,M,18-29 AÑOS,PERÚ,1
2019,02,110501,ICA,PISCO,PISCO,F,6-11 AÑOS,PERÚ,1
2023,07,200104,PIURA,PIURA,CASTILLA,M,18-29 AÑOS,PERÚ,1
2021,09,160108,LORETO,MAYNAS,PUNCHANA,M,30-59 AÑOS,PERÚ,1
2023,11,080104,CUSCO,CUSCO,SAN JERONIMO,F,12-17 AÑOS,PERÚ,4
2021,06,040701,AREQUIPA,ISLAY,MOLLENDO,M,12-17 AÑOS,PERÚ,1
2020,02,030608,APURIMAC,CHINCHEROS,RANRACANCHA,F,12-17 AÑOS,PERÚ,1
2020,01,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,F,60 A MAS AÑOS,PERÚ,2
2020,01,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,M,18-29 AÑOS,PERÚ,1
2024,10,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,30-59 AÑOS,PERÚ,4
2024,08,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,12-17 AÑOS,REPUBLICA DOMINICANA,1
2022,06,081301,CUSCO,URUBAMBA,URUBAMBA,F,12-17 AÑOS,PERÚ,1
2024,10,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,M,18-29 AÑOS,PERÚ,1
2019,12,100102,HUÁNUCO,HUANUCO,AMARILIS,F,60 A MAS AÑOS,PERÚ,1
2019,04,040104,AREQUIPA,AREQUIPA,CERRO COLORADO,F,12-17 AÑOS,PERÚ,3
2022,10,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,F,12-17 AÑOS,PERÚ,4
2025,09,230104,TACNA,TACNA,CIUDAD NUEVA,F,30-59 AÑOS,PERÚ,1
2024,02,150101,LIMA METROPOLITANA,LIMA,LIMA,M,30-59 AÑOS,PERÚ,8
2023,07,170302,MADRE DE DIOS,TAHUAMANU,IBERIA,F,12-17 AÑOS,PERÚ,2
2024,09,040601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,F,12-17 AÑOS,PERÚ,1
2023,01,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,F,30-59 AÑOS,PERÚ,1
2020,12,160112,LORETO,MAYNAS,BELEN,M,6-11 AÑOS,PERÚ,1
2022,12,080908,CUSCO,LA CONVENCION,SANTA TERESA,F,12-17 AÑOS,PERÚ,1
2020,10,190301,PASCO,OXAPAMPA,OXAPAMPA,F,12-17 AÑOS,PERÚ,2
2021,12,060808,CAJAMARCA,JAEN,PUCARA,F,18-29 AÑOS,PERÚ,1
2022,09,150101,LIMA METROPOLITANA,LIMA,LIMA,F,60 A MAS AÑOS,PERÚ,1
2021,08,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,6-11 AÑOS,PERÚ,1
2020,10,090709,HUANCAVELICA,TAYACAJA,HUARIBAMBA,F,12-17 AÑOS,PERÚ,1
2020,06,150501,REGIÓN LIMA,CAÑETE,SAN VICENTE DE CAÑETE,M,12-17 AÑOS,PERÚ,1
2021,05,210607,PUNO,HUANCANE,TARACO,F,12-17 AÑOS,PERÚ,1
2024,06,170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,F,30-59 AÑOS,PERÚ,1
2023,02,050401,AYACUCHO,HUANTA,HUANTA,F,30-59 AÑOS,PERÚ,1
2021,07,120405,JUNÍN,JAUJA,CANCHAYLLO,M,30-59 AÑOS,PERÚ,1
2021,01,110102,ICA,ICA,LA TINGUIÑA,M,12-17 AÑOS,PERÚ,1
2019,01,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,M,18-29 AÑOS,PERÚ,1
2021,08,230105,TACNA,TACNA,INCLAN,F,12-17 AÑOS,PERÚ,1
2023,03,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,M,30-59 AÑOS,PERÚ,6
2025,02,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,30-59 AÑOS,PERÚ,8
2023,01,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,M,18-29 AÑOS,PERÚ,2
2025,11,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,F,60 A MAS AÑOS,PERÚ,2
2019,12,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,M,30-59 AÑOS,VENEZUELA,1
2023,09,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,F,60 A MAS AÑOS,PERÚ,3
2020,03,021509,ÁNCASH,PALLASCA,PAMPAS,F,12-17 AÑOS,PERÚ,1
2025,01,240302,TUMBES,ZARUMILLA,AGUAS VERDES,F,12-17 AÑOS,PERÚ,3
2020,11,120303,JUNÍN,CHANCHAMAYO,PICHANAQUI,F,12-17 AÑOS,PERÚ,1
2019,05,080108,CUSCO,CUSCO,WANCHAQ,F,12-17 AÑOS,PERÚ,1
2023,01,030101,APURIMAC,ABANCAY,ABANCAY,M,18-29 AÑOS,PERÚ,1
2019,07,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,F,12-17 AÑOS,PERÚ,3
2025,10,170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,M,18-29 AÑOS,PERÚ,1
2024,01,150110,LIMA METROPOLITANA,LIMA,COMAS,M,30-59 AÑOS,VENEZUELA,2
2019,11,140309,LAMBAYEQUE,LAMBAYEQUE,PACORA,M,12-17 AÑOS,PERÚ,1
2021,12,200601,PIURA,SULLANA,SULLANA,M,12-17 AÑOS,PERÚ,1
2022,07,040101,AREQUIPA,AREQUIPA,AREQUIPA,M,18-29 AÑOS,ARGENTINA,1
2023,03,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,F,18-29 AÑOS,VENEZUELA,1
2023,01,130204,LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,F,18-29 AÑOS,PERÚ,1
2020,12,060901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,F,12-17 AÑOS,PERÚ,4
2025,01,030101,APURIMAC,ABANCAY,ABANCAY,F,12-17 AÑOS,PERÚ,7
2025,12,150141,LIMA METROPOLITANA,LIMA,SURQUILLO,M,18-29 AÑOS,PERÚ,1
2021,11,150103,LIMA METROPOLITANA,LIMA,ATE,M,18-29 AÑOS,PERÚ,4
2023,03,250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,M,12-17 AÑOS,VENEZUELA,1
2025,06,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,F,30-59 AÑOS,PERÚ,1
2020,10,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,12-17 AÑOS,PERÚ,7
2019,02,040201,AREQUIPA,CAMANA,CAMANA,F,12-17 AÑOS,PERÚ,2
2021,10,110104,ICA,ICA,OCUCAJE,F,12-17 AÑOS,PERÚ,1
2019,03,150139,LIMA METROPOLITANA,LIMA,SANTA ROSA,F,12-17 AÑOS,PERÚ,3
2025,09,160101,LORETO,MAYNAS,IQUITOS,F,12-17 AÑOS,PERÚ,3
2021,05,220808,SAN MARTÍN,RIOJA,YORONGOS,F,12-17 AÑOS,PERÚ,1
2019,10,200111,PIURA,PIURA,LAS LOMAS,F,12-17 AÑOS,PERÚ,1
2020,08,080910,CUSCO,LA CONVENCION,PICHARI,F,12-17 AÑOS,PERÚ,6
2025,02,150123,LIMA METROPOLITANA,LIMA,PACHACAMAC,F,30-59 AÑOS,PERÚ,1
2024,12,110108,ICA,ICA,SALAS,F,18-29 AÑOS,PERÚ,1
2021,07,220911,SAN MARTÍN,SAN MARTIN,PAPAPLAYA,F,12-17 AÑOS,PERÚ,1
2020,07,150103,LIMA METROPOLITANA,LIMA,ATE,F,30-59 AÑOS,PERÚ,1
2019,07,120107,JUNÍN,HUANCAYO,CHILCA,F,12-17 AÑOS,PERÚ,21
2020,02,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,60 A MAS AÑOS,PERÚ,3
2025,01,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,F,12-17 AÑOS,PERÚ,11
2024,12,120601,JUNÍN,SATIPO,SATIPO,M,12-17 AÑOS,PERÚ,2
2023,05,080801,CUSCO,ESPINAR,ESPINAR,F,18-29 AÑOS,PERÚ,1
2025,02,110501,ICA,PISCO,PISCO,F,18-29 AÑOS,PERÚ,1
2023,02,110507,ICA,PISCO,SAN CLEMENTE,M,18-29 AÑOS,PERÚ,1
2019,05,200701,PIURA,TALARA,PARIÑAS,F,30-59 AÑOS,PERÚ,1
2022,06,050704,AYACUCHO,PARINACOCHAS,PACAPAUSA,F,12-17 AÑOS,PERÚ,2
2025,12,120101,JUNÍN,HUANCAYO,HUANCAYO,F,12-17 AÑOS,PERÚ,4
2019,07,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,30-59 AÑOS,VENEZUELA,1
2021,10,070101,CALLAO,CALLAO,CALLAO,M,60 A MAS AÑOS,PERÚ,3
2025,09,120107,JUNÍN,HUANCAYO,CHILCA,F,30-59 AÑOS,PERÚ,1
2023,08,040101,AREQUIPA,AREQUIPA,AREQUIPA,F,12-17 AÑOS,PERÚ,4
2021,08,150123,LIMA METROPOLITANA,LIMA,PACHACAMAC,M,60 A MAS AÑOS,PERÚ,1
2021,04,200501,PIURA,PAITA,PAITA,F,30-59 AÑOS,PERÚ,1
2025,01,050502,AYACUCHO,LA MAR,ANCO,F,12-17 AÑOS,PERÚ,1
2024,02,140306,LAMBAYEQUE,LAMBAYEQUE,MORROPE,F,12-17 AÑOS,PERÚ,1
2025,08,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,M,60 A MAS AÑOS,PERÚ,2
2023,05,140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,M,6-11 AÑOS,PERÚ,1
2020,03,050101,AYACUCHO,HUAMANGA,AYACUCHO,F,0-5 AÑOS,PERÚ,1
2023,11,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,M,6-11 AÑOS,VENEZUELA,1
2019,11,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,60 A MAS AÑOS,PERÚ,2
2023,08,120303,JUNÍN,CHANCHAMAYO,PICHANAQUI,M,30-59 AÑOS,PERÚ,1
2019,06,240304,TUMBES,ZARUMILLA,PAPAYAL,F,18-29 AÑOS,PERÚ,1
2021,03,100801,HUÁNUCO,PACHITEA,PANAO,F,30-59 AÑOS,PERÚ,1
2019,02,150508,REGIÓN LIMA,CAÑETE,LUNAHUANA,M,18-29 AÑOS,PERÚ,1
2020,07,250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,M,30-59 AÑOS,PERÚ,1
2024,11,081103,CUSCO,PAUCARTAMBO,CHALLABAMBA,F,12-17 AÑOS,PERÚ,1
2025,07,211307,PUNO,YUNGUYO,UNICACHI,M,30-59 AÑOS,PERÚ,1
2022,06,140206,LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,F,12-17 AÑOS,PERÚ,2
2020,10,150101,LIMA METROPOLITANA,LIMA,LIMA,M,30-59 AÑOS,VENEZUELA,1
2024,09,150501,REGIÓN LIMA,CAÑETE,SAN VICENTE DE CAÑETE,F,12-17 AÑOS,PERÚ,4
2021,11,211303,PUNO,YUNGUYO,COPANI,F,30-59 AÑOS,PERÚ,1
2021,11,150140,LIMA METROPOLITANA,LIMA,SANTIAGO DE SURCO,M,12-17 AÑOS,PERÚ,1
2023,01,120504,JUNÍN,JUNIN,ULCUMAYO,F,12-17 AÑOS,PERÚ,1
2025,01,150116,LIMA METROPOLITANA,LIMA,LINCE,F,12-17 AÑOS,PERÚ,1
2023,06,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,60 A MAS AÑOS,PERÚ,3
2025,04,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,M,12-17 AÑOS,PERÚ,2
2021,05,211002,PUNO,SAN ANTONIO DE PUTINA,ANANEA,F,12-17 AÑOS,PERÚ,1
2023,05,080105,CUSCO,CUSCO,SAN SEBASTIAN,M,60 A MAS AÑOS,PERÚ,2
2025,01,021702,ÁNCASH,RECUAY,CATAC,M,30-59 AÑOS,PERÚ,1
2022,12,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,M,30-59 AÑOS,PERÚ,1
2022,10,080101,CUSCO,CUSCO,CUSCO,M,6-11 AÑOS,PERÚ,1
2023,11,150102,LIMA METROPOLITANA,LIMA,ANCON,F,12-17 AÑOS,PERÚ,1
2023,09,150101,LIMA METROPOLITANA,LIMA,LIMA,F,12-17 AÑOS,BOLIVIA,1
2024,08,150103,LIMA METROPOLITANA,LIMA,ATE,M,30-59 AÑOS,PERÚ,1
2023,10,150144,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,M,18-29 AÑOS,PERÚ,1
2022,04,150103,LIMA METROPOLITANA,LIMA,ATE,F,12-17 AÑOS,PERÚ,12
2021,08,080108,CUSCO,CUSCO,WANCHAQ,M,18-29 AÑOS,PERÚ,1
2025,02,040103,AREQUIPA,AREQUIPA,CAYMA,F,12-17 AÑOS,PERÚ,1
2023,05,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,18-29 AÑOS,PERÚ,3
2020,09,150105,LIMA METROPOLITANA,LIMA,BREÑA,M,60 A MAS AÑOS,PERÚ,1
2020,02,070106,CALLAO,CALLAO,VENTANILLA,F,0-5 AÑOS,PERÚ,1
2024,10,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,F,12-17 AÑOS,PERÚ,8
2022,12,080101,CUSCO,CUSCO,CUSCO,M,12-17 AÑOS,PERÚ,1
2019,07,150107,LIMA METROPOLITANA,LIMA,CHACLACAYO,F,12-17 AÑOS,PERÚ,1
2019,12,050202,AYACUCHO,CANGALLO,CHUSCHI,F,18-29 AÑOS,PERÚ,1
2021,04,040112,AREQUIPA,AREQUIPA,PAUCARPATA,M,60 A MAS AÑOS,PERÚ,1
2022,05,021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,F,12-17 AÑOS,PERÚ,3
2019,07,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,60 A MAS AÑOS,PERÚ,1
2020,02,080106,CUSCO,CUSCO,SANTIAGO,F,,PERÚ,2
2022,09,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,6-11 AÑOS,PERÚ,1
2025,08,070101,CALLAO,CALLAO,CALLAO,M,12-17 AÑOS,PERÚ,2
2019,01,070101,CALLAO,CALLAO,CALLAO,M,60 A MAS AÑOS,PERÚ,1
2019,10,100101,HUÁNUCO,HUANUCO,HUANUCO,M,18-29 AÑOS,PERÚ,2
2021,05,150101,LIMA METROPOLITANA,LIMA,LIMA,F,6-11 AÑOS,PERÚ,2
2023,05,150105,LIMA METROPOLITANA,LIMA,BREÑA,F,12-17 AÑOS,PERÚ,1
2024,07,160703,LORETO,DATEM DEL MARAÑON,MANSERICHE,M,30-59 AÑOS,PERÚ,1
2025,06,150130,LIMA METROPOLITANA,LIMA,SAN BORJA,,18-29 AÑOS,PERÚ,1
2019,11,080105,CUSCO,CUSCO,SAN SEBASTIAN,F,12-17 AÑOS,PERÚ,5
2022,04,080103,CUSCO,CUSCO,POROY,F,60 A MAS AÑOS,PERÚ,1
2019,04,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,F,12-17 AÑOS,PERÚ,2
2019,12,040104,AREQUIPA,AREQUIPA,CERRO COLORADO,M,,PERÚ,2
2024,02,150122,LIMA METROPOLITANA,LIMA,MIRAFLORES,M,18-29 AÑOS,PERÚ,1
2025,03,110201,ICA,CHINCHA,CHINCHA ALTA,M,60 A MAS AÑOS,PERÚ,1
2019,02,200101,PIURA,PIURA,PIURA,M,12-17 AÑOS,PERÚ,1
2022,02,210801,PUNO,MELGAR,AYAVIRI,M,60 A MAS AÑOS,PERÚ,2
2024,08,100101,HUÁNUCO,HUANUCO,HUANUCO,F,12-17 AÑOS,PERÚ,5
2025,11,150116,LIMA METROPOLITANA,LIMA,LINCE,M,30-59 AÑOS,PERÚ,2
2019,01,040122,AREQUIPA,AREQUIPA,SOCABAYA,M,18-29 AÑOS,PERÚ,1
2025,01,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,M,30-59 AÑOS,PERÚ,6
2022,02,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,F,12-17 AÑOS,PERÚ,3
2022,11,120212,JUNÍN,CONCEPCION,NUEVE DE JULIO,F,12-17 AÑOS,PERÚ,1
2024,12,120403,JUNÍN,JAUJA,APATA,M,6-11 AÑOS,PERÚ,1
2025,06,080704,CUSCO,CHUMBIVILCAS,COLQUEMARCA,M,30-59 AÑOS,PERÚ,1
2021,05,230102,TACNA,TACNA,ALTO DE LA ALIANZA,M,30-59 AÑOS,PERÚ,1
2024,11,150204,REGIÓN LIMA,BARRANCA,SUPE,M,60 A MAS AÑOS,PERÚ,1
2025,02,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,30-59 AÑOS,PERÚ,1
2025,11,040409,AREQUIPA,CASTILLA,ORCOPAMPA,M,12-17 AÑOS,PERÚ,1
2019,08,150605,REGIÓN LIMA,HUARAL,CHANCAY,F,12-17 AÑOS,PERÚ,2
2025,11,200115,PIURA,PIURA,26 DE OCTUBRE,M,12-17 AÑOS,PERÚ,2
2020,10,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,M,,PERÚ,1
2020,10,240101,TUMBES,TUMBES,TUMBES,F,30-59 AÑOS,PERÚ,2
2020,02,110305,ICA,NAZCA,VISTA ALEGRE,F,18-29 AÑOS,PERÚ,1
2019,09,220909,SAN MARTÍN,SAN MARTIN,LA BANDA DE SHILCAYO,F,12-17 AÑOS,PERÚ,3
2022,06,140107,LAMBAYEQUE,CHICLAYO,LAGUNAS,F,18-29 AÑOS,PERÚ,1
2023,03,110504,ICA,PISCO,INDEPENDENCIA,F,30-59 AÑOS,PERÚ,1
2025,07,130402,LA LIBERTAD,CHEPEN,PACANGA,F,12-17 AÑOS,PERÚ,2
2024,11,200407,PIURA,MORROPON,SAN JUAN DE BIGOTE,F,12-17 AÑOS,PERÚ,1
2021,10,230301,TACNA,JORGE BASADRE,LOCUMBA,M,18-29 AÑOS,PERÚ,2
2019,10,040128,AREQUIPA,AREQUIPA,YURA,M,12-17 AÑOS,PERÚ,1
2020,10,140102,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,F,6-11 AÑOS,PERÚ,1
2025,05,040129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,F,60 A MAS AÑOS,PERÚ,2
2025,01,080910,CUSCO,LA CONVENCION,PICHARI,M,18-29 AÑOS,PERÚ,1
2020,12,021801,ÁNCASH,SANTA,CHIMBOTE,M,18-29 AÑOS,PERÚ,1
2022,08,010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,M,12-17 AÑOS,PERÚ,1
2021,04,100111,HUÁNUCO,HUANUCO,PILLCO MARCA,F,30-59 AÑOS,PERÚ,1
2024,12,120101,JUNÍN,HUANCAYO,HUANCAYO,M,60 A MAS AÑOS,PERÚ,2
2023,02,050102,AYACUCHO,HUAMANGA,ACOCRO,M,12-17 AÑOS,PERÚ,1
2021,09,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,18-29 AÑOS,PERÚ,2
2019,01,170204,MADRE DE DIOS,MANU,HUEPETUHE,M,12-17 AÑOS,PERÚ,2
2019,09,110112,ICA,ICA,SUBTANJALLA,F,,PERÚ,1
2020,01,150805,REGIÓN LIMA,HUAURA,HUALMAY,M,30-59 AÑOS,PERÚ,1
2021,01,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,M,18-29 AÑOS,VENEZUELA,1
2022,05,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,60 A MAS AÑOS,PERÚ,1
2025,07,100323,HUÁNUCO,DOS DE MAYO,YANAS,F,0-5 AÑOS,PERÚ,1
2021,09,200104,PIURA,PIURA,CASTILLA,F,60 A MAS AÑOS,PERÚ,1
2025,12,120133,JUNÍN,HUANCAYO,SAPALLANGA,M,12-17 AÑOS,PERÚ,1
2019,10,030109,APURIMAC,ABANCAY,TAMBURCO,M,18-29 AÑOS,PERÚ,1
2021,03,220105,SAN MARTÍN,MOYOBAMBA,SORITOR,M,30-59 AÑOS,PERÚ,1
2025,03,040117,AREQUIPA,AREQUIPA,SACHACA,F,30-59 AÑOS,PERÚ,1
2023,11,200115,PIURA,PIURA,26 DE OCTUBRE,F,18-29 AÑOS,PERÚ,1
2022,09,080105,CUSCO,CUSCO,SAN SEBASTIAN,F,12-17 AÑOS,PERÚ,9
2025,07,200601,PIURA,SULLANA,SULLANA,M,60 A MAS AÑOS,PERÚ,1
2025,04,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,F,18-29 AÑOS,VENEZUELA,1
2021,01,060108,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,F,12-17 AÑOS,PERÚ,1
2025,01,060801,CAJAMARCA,JAEN,JAEN,F,12-17 AÑOS,PERÚ,2
2019,09,050116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES,M,30-59 AÑOS,PERÚ,1
2023,06,120114,JUNÍN,HUANCAYO,EL TAMBO,M,30-59 AÑOS,PERÚ,1
2024,10,120114,JUNÍN,HUANCAYO,EL TAMBO,M,12-17 AÑOS,PERÚ,2
2023,08,070101,CALLAO,CALLAO,CALLAO,F,18-29 AÑOS,PERÚ,2
2021,02,010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,M,30-59 AÑOS,PERÚ,2
2020,01,020105,ÁNCASH,HUARAZ,INDEPENDENCIA,M,12-17 AÑOS,PERÚ,1
2025,11,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,F,18-29 AÑOS,PERÚ,1
2019,11,110101,ICA,ICA,ICA,M,60 A MAS AÑOS,PERÚ,3
2021,09,140205,LAMBAYEQUE,FERREÑAFE,PITIPO,F,30-59 AÑOS,PERÚ,1
2024,03,040203,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,F,30-59 AÑOS,PERÚ,1
2022,07,211101,PUNO,SAN ROMAN,JULIACA,M,12-17 AÑOS,PERÚ,4
2023,08,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,M,18-29 AÑOS,PERÚ,2
2022,10,080704,CUSCO,CHUMBIVILCAS,COLQUEMARCA,M,12-17 AÑOS,PERÚ,1
2020,08,200101,PIURA,PIURA,PIURA,F,60 A MAS AÑOS,PERÚ,1
2025,07,040204,AREQUIPA,CAMANA,MARISCAL CACERES,F,30-59 AÑOS,PERÚ,1
2020,11,080106,CUSCO,CUSCO,SANTIAGO,M,30-59 AÑOS,PERÚ,2
2020,08,030101,APURIMAC,ABANCAY,ABANCAY,M,18-29 AÑOS,PERÚ,2
2023,02,230101,TACNA,TACNA,TACNA,M,12-17 AÑOS,PERÚ,1
2023,09,040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,M,12-17 AÑOS,PERÚ,1
2020,05,150201,REGIÓN LIMA,BARRANCA,BARRANCA,M,18-29 AÑOS,PERÚ,1
2025,04,070106,CALLAO,CALLAO,VENTANILLA,F,30-59 AÑOS,PERÚ,3
2019,12,030101,APURIMAC,ABANCAY,ABANCAY,,18-29 AÑOS,PERÚ,1
2022,08,040128,AREQUIPA,AREQUIPA,YURA,M,12-17 AÑOS,PERÚ,1
2023,06,150124,LIMA METROPOLITANA,LIMA,PUCUSANA,F,12-17 AÑOS,PERÚ,1
2025,03,150117,LIMA METROPOLITANA,LIMA,LOS OLIVOS,M,30-59 AÑOS,PERÚ,3
2020,11,120604,JUNÍN,SATIPO,MAZAMARI,M,18-29 AÑOS,PERÚ,1
2022,12,070106,CALLAO,CALLAO,VENTANILLA,F,12-17 AÑOS,PERÚ,1
2019,03,110106,ICA,ICA,PARCONA,M,12-17 AÑOS,PERÚ,2
2025,02,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,18-29 AÑOS,VENEZUELA,1
2022,11,220909,SAN MARTÍN,SAN MARTIN,LA BANDA DE SHILCAYO,F,12-17 AÑOS,PERÚ,1
2020,12,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,F,12-17 AÑOS,PERÚ,1
2025,08,150125,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,F,12-17 AÑOS,PERÚ,4
2019,01,021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,M,18-29 AÑOS,PERÚ,1
2021,05,150810,REGIÓN LIMA,HUAURA,SANTA MARIA,M,18-29 AÑOS,PERÚ,1
2022,07,150113,LIMA METROPOLITANA,LIMA,JESUS MARIA,F,60 A MAS AÑOS,PERÚ,1
2019,09,150101,LIMA METROPOLITANA,LIMA,LIMA,M,60 A MAS AÑOS,REINO UNIDO,1
2023,09,120401,JUNÍN,JAUJA,JAUJA,F,12-17 AÑOS,PERÚ,1
2024,02,230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,M,18-29 AÑOS,PERÚ,1
2024,10,150605,REGIÓN LIMA,HUARAL,CHANCAY,M,18-29 AÑOS,PERÚ,1
2021,11,150109,LIMA METROPOLITANA,LIMA,CIENEGUILLA,M,60 A MAS AÑOS,PERÚ,1
2019,08,120114,JUNÍN,HUANCAYO,EL TAMBO,F,18-29 AÑOS,PERÚ,1
2020,12,100111,HUÁNUCO,HUANUCO,PILLCO MARCA,M,18-29 AÑOS,PERÚ,1
2025,05,130205,LA LIBERTAD,ASCOPE,PAIJAN,M,30-59 AÑOS,PERÚ,1
2025,04,150124,LIMA METROPOLITANA,LIMA,PUCUSANA,M,,COLOMBIA,1
